FEBRERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESCRIPCI?N,G_OFICIAL,FECHA,ENTRA,SALE,SALDO GNRL,PROVISION,DECIMOS,SUELDO_c,FALTANTE,,,,,,,,,,,,,,,,,,,,,
SALDOS,Saldo Provisi¢n Conserje mes anterior,,,,,," $8,983.37 ",,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Decimos Conserje mes anterior,,,,,,, $244.61 ,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Diferido,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Condominio mes anterior,,," $7,168.52 ",," $7,168.52 ",,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS FIJOS,SUELDO CONSERJE, $407.48 ,,, $425.59 ," $6,742.93 ",,,,,,,,,,,,,,,,,,,,,,,,,
,IESS CONSERJE, $97.20 ,,, $-   ," $6,742.93 ",,,,,,,,,,,,,,,,,,,,,,,,,
,FONDOS DE RESERVA CONSERJE, $37.49 ,,, $-   ," $6,742.93 ",,,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO CUARTO 15 AGOSTO, $425.00 ,,, $-   ," $6,742.93 ",,,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO TERCERO 15 DICIEMBRE, $422.92 ,,, $-   ," $6,742.93 ",,,,,,,,,,,,,,,,,,,,,,,,,
,GUARDIAN?A," $1,098.44 ",,, $-   ," $6,742.93 ",,,,,,,,,,,,,,,,,,,,,,,,,
,LUZ - EEQ, $22.47 ,,, $-   ," $6,742.93 ",,,,,,,,,,,,,,,,,,,,,,,,,
,ADMINISTRADOR , $60.00 ,,, $60.00 ," $6,682.93 ",,,,,,,,,,,,,,,,,,,,,,,,,
,SERVICIOS BANCARIOS, $0.90 ,,, $0.60 ," $6,682.33 ",,,,,,,,,,,,,,,,,,,,,,,,,
,IESS (Octubre Enero),,,, $0.09 ," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
,PROVISI?N FERNANDO, $215.23 ,,, $-   ," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
GASTO EVENTUAL,PINTURA,,,, $-   ," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
,IESS Fondos Reserva Octubre,,,, $-   ," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
,IESS Glosa (Octubre Noviembre),,,, $-   ," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
,IESS Planilla Dicimbre,,,, $-   ," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
,Administrador Enero,,,,," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
,Gasolina Fernando,,,, $-   ," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
,PINTURA CANCHA SQUASH,,,, $-   ," $6,682.24 ",,,,,,,,,,,,,,,,,,,,,,,,,
INGRESOS,C01 Canelos - PÇrez, $279.57 ,4-Feb-2025, $279.57 , $-   ," $6,961.81 ",,,, $-   , $1.76 ,,,,,,,,,,,,,,,,,,,,
,C01 Provisi¢n, $8.02 ,,,,, $8.02 ,,,,,,,,,,,,,,,,,,,,,,,,
,C01 DÇcimos Conserje, $12.79 ,,,,,, $12.79 ,,,,,,,,,,,,,,,,,,,,,,,
,C01 Sueldo Conserje, $65.07 ,,,,,,, $65.07 ,,,,,,,,,,,,,,,,,,,,,,
,C02 Escorza - Parra, $224.65 ,10-Feb-2025, $231.51 , $-   ," $7,193.32 ",,,, $6.86 , $61.74 ,,,,,,,,,,,,,,,,,,,,
,C02 Provisi¢n, $6.45 ,,,,, $6.45 ,,,,,,,,,,,,,,,,,,,,,,,,
,C02 DÇcimos Conserje, $10.28 ,,,,,, $10.28 ,,,,,,,,,,,,,,,,,,,,,,,
,C02 Sueldo Conserje, $52.29 ,,,,,,, $52.29 ,,,,,,,,,,,,,,,,,,,,,,
,03 Nieding - Toscano, $208.89 ,3-Feb-2025, $624.60 , $-   ," $7,817.92 ",,,, $415.71 , $(839.12),,,,,,,,,,,,,,,,,,,,
,C03 Provisi¢n, $5.99 ,,,,, $5.99 ,,,,,,,,,,,,,,,,,,,,,,,,
,C03 DÇcimos Conserje, $9.56 ,,,,,, $9.56 ,,,,,,,,,,,,,,,,,,,,,,,
,C03 Sueldo Conserje, $48.62 ,,,,,,, $48.62 ,,,,,,,,,,,,,,,,,,,,,,
,04 Mart°nez - Alvarez, $200.56 ,6-Feb-2025, $218.37 , $-   ," $8,036.29 ",,,, $17.81 , $89.05 ,,,,,,,,,,,,,,,,,,,,
,C04 Provisi¢n, $5.75 ,,,,, $5.75 ,,,,,,,,,,,,,,,,,,,,,,,,
,C04 DÇcimos Conserje, $9.18 ,,,,,, $9.18 ,,,,,,,,,,,,,,,,,,,,,,,
,C04 Sueldo Conserje, $46.68 ,,,,,,, $46.68 ,,,,,,,,,,,,,,,,,,,,,,
,05 Gallegos - Rodr°guez, $174.45 ,5-Feb-2025, $174.45 , $-   ," $8,210.74 ",,,, $-   , $(0.01),,,,,,,,,,,,,,,,,,,,
,C05 Provisi¢n, $5.01 ,,,,, $5.01 ,,,,,,,,,,,,,,,,,,,,,,,,
,C05 DÇcimos Conserje, $7.98 ,,,,,, $7.98 ,,,,,,,,,,,,,,,,,,,,,,,
,C05 Sueldo Conserje, $40.60 ,,,,,,, $40.60 ,,,,,,,,,,,,,,,,,,,,,,
,06 Vega - Granda, $201.24 ,10-Feb-2025, $219.10 , $-   ," $8,429.84 ",,,, $17.86 , $160.74 ,,,,,,,,,,,,,,,,,,,,
,C06 Provisi¢n, $5.77 ,,,,, $5.77 ,,,,,,,,,,,,,,,,,,,,,,,,
,C06 DÇcimos Conserje, $9.21 ,,,,,, $9.21 ,,,,,,,,,,,,,,,,,,,,,,,
,C06 Sueldo Conserje, $46.84 ,,,,,,, $46.84 ,,,,,,,,,,,,,,,,,,,,,,
,07 Serrano - Mor†n, $209.56 ,11-Feb-2025, $209.56 , $-   ," $8,639.40 ",,,, $-   , $0.01 ,,,,,,,,,,,,,,,,,,,,
,C07 Provisi¢n, $6.01 ,,,,, $6.01 ,,,,,,,,,,,,,,,,,,,,,,,,
,C07 DÇcimos Conserje, $9.59 ,,,,,, $9.59 ,,,,,,,,,,,,,,,,,,,,,,,
,C07 Sueldo Conserje, $48.78 ,,,,,,, $48.78 ,,,,,,,,,,,,,,,,,,,,,,
,08 Juliana Obando, $217.44 ,3-Feb-2025,217.44, $-   ," $8,856.84 ",,,, $-   , $0.10 ,,,,,,,,,,,,,,,,,,,,
,C08 Provisi¢n, $6.24 ,,,,, $6.24 ,,,,,,,,,,,,,,,,,,,,,,,,
,C08 DÇcimos Conserje, $9.95 ,,,,,, $9.95 ,,,,,,,,,,,,,,,,,,,,,,,
,C08 Sueldo Conserje, $50.61 ,,,,,,, $50.61 ,,,,,,,,,,,,,,,,,,,,,,
,09 Guerra - Apr†ez, $342.37 ,, $-   , $-   ," $8,856.84 ",,,, $(342.37)," $(10,664.19)",,,,,,,,,,,,,,,,,,,,
,C09 Provisi¢n, $9.82 ,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,
,C09 DÇcimos Conserje, $15.66 ,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,
,C09 Sueldo Conserje, $79.69 ,,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,
,10 Arias - Hidalgo, $192.23 ,26-Feb-2025, $192.23 , $-   ," $9,049.07 ",,,, $-   , $0.02 ,,,,,,,,,,,,,,,,,,,,
,C10 Provisi¢n, $5.52 ,,,,, $5.52 ,,,,,,,,,,,,,,,,,,,,,,,,
,C10 DÇcimos Conserje, $8.79 ,,,,,, $8.79 ,,,,,,,,,,,,,,,,,,,,,,,
,C10 Sueldo Conserje, $44.74 ,,,,,,, $44.74 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provisi¢n, $64.58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DÇcimos, $102.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sueldo, $523.94 , $25.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, $626.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" $2,250.96 ",SUBTOTAL MES," $2,250.96 ",2/4/2026," $2,366.83 ",$486.28," $1,880.55 ", $54.76 , $87.31 , $444.25 , $115.87 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ACUMULADO,,2/4/2026," $9,535.35 ", $486.28 ," $9,049.07 "," $9,038.13 ", $331.92 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SALDO PARA PROVISI?N,,," $9,038.13 ",,,Cartera Vencida,," $(11,189.90)",,,,,,,,,,,,,,,,,,,,,,
,SALDO PARA DêCIMOS,,, $331.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SALDO CONJUNTO,,, $(320.98),,,,,," $19,702.32 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REAL,,,,,,,,,,,,,,,,,,,,,,,,,
,SALDO EN CUENTA,,," $9,049.07 ",,"$9,049.07",28/Feb/2023, $-   ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
