AGOSTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESCRIPCI?N,G_OFICIAL,FECHA,ENTRA,SALE,SALDO GNRL,PROVISION,DECIMOS,SUELDO_FDO,FALTANTE,,,,,,,,,,,,,,,,,,,,,
SALDOS,Saldo Provisi¢n Conserje mes anterior,,,,,," $9,263.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Decimos Conserje mes anterior,,,,,,, $690.53 ,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Diferido,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Condominio mes anterior,,," $9,548.40 ",," $9,548.40 ",,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS FIJOS,SUELDO CONSERJE, $407.48 ,28-Aug-2024,, $425.59 ," $9,122.81 ",,,,,,,,,,,,,,,,,,,,,,,,,
,IESS CONSERJE, $97.20 ,28-Aug-2024,, $-   ," $9,122.81 ",,,,,,,,,,,,,,,,,,,,,,,,,
,FONDOS DE RESERVA CONSERJE, $37.49 ,28-Aug-2024,, $-   ," $9,122.81 ",,,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO CUARTO 15 AGOSTO, $450.00 ,28-Aug-2024,, $470.00 ," $8,652.81 ",,,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO TERCERO 15 DICIEMBRE, $447.92 ,28-Aug-2024,, $-   ," $8,652.81 ",,,,,,,,,,,,,,,,,,,,,,,,,
,GUARDIAN?A," $1,098.44 ",,," $1,127.86 "," $7,524.95 ",,,,,,,,,,,,,,,,,,,,,,,,,
,LUZ - EEQ, $22.47 ,28-Aug-2024,, $185.84 ," $7,339.11 ",,,,,,,,,,,,,,,,,,,,,,,,,
,ADMINISTRADOR , $60.00 ,28-Aug-2024,, $60.00 ," $7,279.11 ",,,,,,,,,,,,,,,,,,,,,,,,,
