SEPTIEMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESCRIPCI?N,G_OFICIAL,FECHA,ENTRA,SALE,SALDO GNRL,PROVISION,DECIMOS,SUELDO_FDO,FALTANTE,,,,,,,,,,,,,,,,,,,,
SALDOS,Saldo Provisi¢n Conserje mes anterior,,,,,," $9,311.82 ",,,,,,,,,,,,,,,,,,,,,,,
,Saldo Decimos Conserje mes anterior,,,,,,, $298.28 ,,,,,,,,,,,,,,,,,,,,,,
,Saldo Diferido,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Condominio mes anterior,,," $9,200.64 ",," $9,200.64 ",,,,,,,,,,,,,,,,,,,,,,,,
GASTOS FIJOS,SUELDO CONSERJE, $407.48 ,,, $425.59 ," $8,775.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,IESS CONSERJE, $97.20 ,,, $-   ," $8,775.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,FONDOS DE RESERVA CONSERJE, $37.49 ,,, $-   ," $8,775.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO CUARTO 15 AGOSTO, $450.00 ,,, $-   ," $8,775.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO TERCERO 15 DICIEMBRE, $447.92 ,,, $-   ," $8,775.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,GUARDIAN?A 1.5," $1,098.44 ",2-Sep-2024,," $1,691.79 "," $7,083.26 ",,,,,,,,,,,,,,,,,,,,,,,,
,LUZ - EEQ, $22.47 ,2-Sep-2024,, $-   ," $7,083.26 ",,,,,,,,,,,,,,,,,,,,,,,,
,ADMINISTRADOR , $60.00 ,,, $60.00 ," $7,023.26 ",,,,,,,,,,,,,,,,,,,,,,,,
,Com.pago servicios, $0.90 ,,, $1.80 ," $7,021.46 ",,,,,,,,,,,,,,,,,,,,,,,,
,Imp 15% IVA iva servicios,,,, $0.27 ," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
,Guardiania Atrasada,,,, $-   ," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
GASTO EVENTUAL,,,,, $-   ," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,021.19 ",,,,,,,,,,,,,,,,,,,,,,,,
INGRESOS,C01 Canelos - PÇrez, $279.57 ,4-Sep-2025, $279.57 , $-   ," $7,300.76 ",,,, $-   , $1.62 ,,,,,,,,,,,,,,,,,,,
,C01 Provisi¢n, $8.02 ,,,,, $8.02 ,,,,,,,,,,,,,,,,,,,,,,,
,C01 DÇcimos Conserje, $12.79 ,,,,,, $12.79 ,,,,,,,,,,,,,,,,,,,,,,
,C01 Sueldo Conserje, $65.07 ,,,,,,, $65.07 ,,,,,,,,,,,,,,,,,,,,,
,C02 Escorza - Parra, $224.65 ,23-Sep-2025, $231.51 , $-   ," $7,532.27 ",,,, $6.86 , $109.76 ,,,,,,,,,,,,,,,,,,,
,C02 Provisi¢n, $6.45 ,,,,, $6.45 ,,,,,,,,,,,,,,,,,,,,,,,
,C02 DÇcimos Conserje, $10.28 ,,,,,, $10.28 ,,,,,,,,,,,,,,,,,,,,,,
,C02 Sueldo Conserje, $52.29 ,,,,,,, $52.29 ,,,,,,,,,,,,,,,,,,,,,
,03 Nieding - Toscano, $208.89 ,, $-   , $-   ," $7,532.27 ",,,, $(208.89)," $(2,301.35)",,,,,,,,,,,,,,,,,,,
,C03 Provisi¢n, $5.99 ,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,
,C03 DÇcimos Conserje, $9.56 ,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,
,C03 Sueldo Conserje, $48.62 ,,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,
,04 Mart°nez - Alvarez, $200.56 ,3-Sep-2024, $60.00 , $-   ," $7,592.27 ",,,, $(140.56), $115.35 ,,,,,,,,,,,,,,,,,,,
,C04 Provisi¢n, $5.75 ,,,,, $5.75 ,,,,,,,,,,,,,,,,,,,,,,,
,C04 DÇcimos Conserje, $9.18 ,,,,,, $9.18 ,,,,,,,,,,,,,,,,,,,,,,
,C04 Sueldo Conserje, $46.68 ,,,,,,, $46.68 ,,,,,,,,,,,,,,,,,,,,,
,05 Gallegos - Rodr°guez, $174.45 ,3-Sep-2025, $174.75 , $-   ," $7,767.02 ",,,, $0.30 , $1.49 ,,,,,,,,,,,,,,,,,,,
,C05 Provisi¢n, $5.01 ,,,,, $5.01 ,,,,,,,,,,,,,,,,,,,,,,,
,C05 DÇcimos Conserje, $7.98 ,,,,,, $7.98 ,,,,,,,,,,,,,,,,,,,,,,
,C05 Sueldo Conserje, $40.60 ,,,,,,, $40.60 ,,,,,,,,,,,,,,,,,,,,,
,06 Vega - Granda, $201.24 ,10-Sep-2025, $219.10 , $-   ," $7,986.12 ",,,, $17.86 , $504.86 ,,,,,,,,,,,,,,,,,,,
,C06 Provisi¢n, $5.77 ,,,,, $5.77 ,,,,,,,,,,,,,,,,,,,,,,,
,C06 DÇcimos Conserje, $9.21 ,,,,,, $9.21 ,,,,,,,,,,,,,,,,,,,,,,
,C06 Sueldo Conserje, $46.84 ,,,,,,, $46.84 ,,,,,,,,,,,,,,,,,,,,,
