OCTUBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESCRIPCI?N,G_OFICIAL,FECHA,ENTRA,SALE,SALDO GNRL,PROVISION,DECIMOS,SUELDO_FDO,FALTANTE,,,,,,,,,,,,,,,,,,,,
SALDOS,Saldo Provisi¢n Conserje mes anterior,,,,,," $9,360.59 ",,,,,,,,,,,,,,,,,,,,,,,
,Saldo Decimos Conserje mes anterior,,,,,,, $376.04 ,,,,,,,,,,,,,,,,,,,,,,
,Saldo Diferido,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Condominio mes anterior,,," $8,605.76 ",," $8,605.76 ",,,,,,,,,,,,,,,,,,,,,,,,
GASTOS FIJOS,SUELDO CONSERJE, $407.48 ,21-Oct-2024,, $425.59 ," $8,180.17 ",,,,,,,,,,,,,,,,,,,,,,,,
,IESS CONSERJE, $97.20 ,,, $-   ," $8,180.17 ",,,,,,,,,,,,,,,,,,,,,,,,
,FONDOS DE RESERVA CONSERJE, $37.49 ,,, $-   ," $8,180.17 ",,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO CUARTO 15 AGOSTO, $450.00 ,,, $-   ," $8,180.17 ",,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO TERCERO 15 DICIEMBRE, $447.92 ,,, $-   ," $8,180.17 ",,,,,,,,,,,,,,,,,,,,,,,,
,GUARDIAN?A 1.5," $1,098.44 ",21-Oct-2024,," $1,691.79 "," $6,488.38 ",,,,,,,,,,,,,,,,,,,,,,,,
,LUZ - EEQ, $22.47 ,,, $-   ," $6,488.38 ",,,,,,,,,,,,,,,,,,,,,,,,
,ADMINISTRADOR , $60.00 ,,, $60.00 ," $6,428.38 ",,,,,,,,,,,,,,,,,,,,,,,,
,Impuestos por chequera, $0.90 ,,, $-   ," $6,428.38 ",,,,,,,,,,,,,,,,,,,,,,,,
,Chequera,,,, $-   ," $6,428.38 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $6,428.38 ",,,,,,,,,,,,,,,,,,,,,,,,
GASTO EVENTUAL,Cruce de Gastos realizados por casa 9 ,,,," $3,022.38 "," $3,406.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,Iess Agosto y Septiembre,,,, $-   ," $3,406.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,Breaker 200A e instalaci¢n,,,, $-   ," $3,406.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $3,406.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,Valvulas Check Acero Comercial segundo par faltante,,4-Aug-2023,, $-   ," $3,406.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,Comision Bancaria,,,, $1.80 ," $3,404.20 ",,,,,,,,,,,,,,,,,,,,,,,,
,Iva15%,,,, $0.27 ," $3,403.93 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $3,403.93 ",,,,,,,,,,,,,,,,,,,,,,,,
INGRESOS,C01 Canelos - PÇrez, $279.57 ,11-Oct-2025, $279.57 , $-   ," $3,683.50 ",,,, $-   , $1.62 ,,,,,,,,,,,,,,,,,,,
,C01 Provisi¢n, $8.02 ,,,,, $8.02 ,,,,,,,,,,,,,,,,,,,,,,,
,C01 DÇcimos Conserje, $12.79 ,,,,,, $12.79 ,,,,,,,,,,,,,,,,,,,,,,
,C01 Sueldo Conserje, $65.07 ,,,,,,, $65.07 ,,,,,,,,,,,,,,,,,,,,,
,C02 Escorza - Parra, $224.65 ,14-Oct-2025, $231.51 , $-   ," $3,915.01 ",,,, $6.86 , $116.62 ,,,,,,,,,,,,,,,,,,,
,C02 Provisi¢n, $6.45 ,,,,, $6.45 ,,,,,,,,,,,,,,,,,,,,,,,
,C02 DÇcimos Conserje, $10.28 ,,,,,, $10.28 ,,,,,,,,,,,,,,,,,,,,,,
,C02 Sueldo Conserje, $52.29 ,,,,,,, $52.29 ,,,,,,,,,,,,,,,,,,,,,
,03 Nieding - Toscano, $208.89 ,, $-   , $-   ," $3,915.01 ",,,, $(208.89)," $(2,510.24)",,,,,,,,,,,,,,,,,,,
,C03 Provisi¢n, $5.99 ,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,
,C03 DÇcimos Conserje, $9.56 ,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,
,C03 Sueldo Conserje, $48.62 ,,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,
,04 Mart°nez - Alvarez, $200.56 ,4-Oct-2025, $376.74 , $-   ," $4,291.75 ",,,, $176.18 , $291.53 ,,,,,,,,,,,,,,,,,,,
,C04 Provisi¢n, $5.75 ,,,,, $5.75 ,,,,,,,,,,,,,,,,,,,,,,,
,C04 DÇcimos Conserje, $9.18 ,,,,,, $9.18 ,,,,,,,,,,,,,,,,,,,,,,
,C04 Sueldo Conserje, $46.68 ,,,,,,, $46.68 ,,,,,,,,,,,,,,,,,,,,,
,05 Gallegos - Rodr°guez, $174.45 ,1-Oct-2025, $174.75 , $-   ," $4,466.50 ",,,, $0.30 , $1.79 ,,,,,,,,,,,,,,,,,,,
,C05 Provisi¢n, $5.01 ,,,,, $5.01 ,,,,,,,,,,,,,,,,,,,,,,,
,C05 DÇcimos Conserje, $7.98 ,,,,,, $7.98 ,,,,,,,,,,,,,,,,,,,,,,
,C05 Sueldo Conserje, $40.60 ,,,,,,, $40.60 ,,,,,,,,,,,,,,,,,,,,,
,06 Vega - Granda, $201.24 ,9-Oct-2025, $219.10 , $-   ," $4,685.60 ",,,, $17.86 , $522.72 ,,,,,,,,,,,,,,,,,,,
,C06 Provisi¢n, $5.77 ,,,,, $5.77 ,,,,,,,,,,,,,,,,,,,,,,,
,C06 DÇcimos Conserje, $9.21 ,,,,,, $9.21 ,,,,,,,,,,,,,,,,,,,,,,
,C06 Sueldo Conserje, $46.84 ,,,,,,, $46.84 ,,,,,,,,,,,,,,,,,,,,,
,07 Serrano - Mor†n, $209.56 ,8-Oct-2025, $209.56 , $-   ," $4,895.16 ",,,, $-   , $0.01 ,,,,,,,,,,,,,,,,,,,
,C07 Provisi¢n, $6.01 ,,,,, $6.01 ,,,,,,,,,,,,,,,,,,,,,,,
,C07 DÇcimos Conserje, $9.59 ,,,,,, $9.59 ,,,,,,,,,,,,,,,,,,,,,,
,C07 Sueldo Conserje, $48.78 ,,,,,,, $48.78 ,,,,,,,,,,,,,,,,,,,,,
,08 Juliana Obando, $217.44 ,1-Oct-2025, $217.44 , $-   ," $5,112.60 ",,,, $-   , $0.10 ,,,,,,,,,,,,,,,,,,,
,C08 Provisi¢n, $6.24 ,,,,, $6.24 ,,,,,,,,,,,,,,,,,,,,,,,
,C08 DÇcimos Conserje, $9.95 ,,,,,, $9.95 ,,,,,,,,,,,,,,,,,,,,,,
,C08 Sueldo Conserje, $50.61 ,,,,,,, $50.61 ,,,,,,,,,,,,,,,,,,,,,
,09 Guerra - Apr†ez, $342.37 ,," $10,022.38 ", $-   ," $15,134.98 ",,,," $9,680.01 "," $(3,380.77)",,,,,,,,,,,,,,,,,,,
,C09 Provisi¢n, $9.82 ,,,,, $9.82 ,,,,,,,,,,,,,,,,,,,,,,,
,C09 DÇcimos Conserje, $15.66 ,,,,,, $15.66 ,,,,,,,,,,,,,,,,,,,,,,
,C09 Sueldo Conserje, $79.69 ,,,,,,, $79.69 ,,,,,,,,,,,,,,,,,,,,,
