NOVIEMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESCRIPCI?N,G_OFICIAL,FECHA,ENTRA,SALE,SALDO GNRL,PROVISION,DECIMOS,SUELDO_FDO,FALTANTE,,,,,,,,,,,,,,,,,,,,
SALDOS,Saldo Provisi¢n Conserje mes anterior,,,,,," $9,419.18 ",,,,,,,,,,,,,,,,,,,,,,,
,Saldo Decimos Conserje mes anterior,,,,,,, $469.46 ,,,,,,,,,,,,,,,,,,,,,,
,Saldo Diferido,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Condominio mes anterior,,," $15,327.62 ",," $15,327.62 ",,,,,,,,,,,,,,,,,,,,,,,,
GASTOS FIJOS,SUELDO CONSERJE, $407.48 ,11/26/24,, $425.59 ," $14,902.03 ",,,,,,,,,,,,,,,,,,,,,,,,
,IESS CONSERJE, $97.20 ,,," $1,919.78 "," $12,982.25 ",,,,,,,,,,,,,,,,,,,,,,,,
,FONDOS DE RESERVA CONSERJE, $37.49 ,,, $-   ," $12,982.25 ",,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO CUARTO 15 AGOSTO, $450.00 ,,, $-   ," $12,982.25 ",,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO TERCERO 15 DICIEMBRE, $447.92 ,,, $-   ," $12,982.25 ",,,,,,,,,,,,,,,,,,,,,,,,
,GUARDIAN?A," $1,098.44 ",11/26/24,," $1,127.86 "," $11,854.39 ",,,,,,,,,,,,,,,,,,,,,,,,
,LUZ - EEQ, $22.47 ,,, $153.32 ," $11,701.07 ",,,,,,,,,,,,,,,,,,,,,,,,
,Comision EEQ, $60.00 ,,, $0.27 ," $11,700.80 ",,,,,,,,,,,,,,,,,,,,,,,,
,Impuesto EEQ, $0.90 ,,, $0.04 ," $11,700.76 ",,,,,,,,,,,,,,,,,,,,,,,,
,Comision Bancaria,,,, $2.07 ," $11,698.69 ",,,,,,,,,,,,,,,,,,,,,,,,
,IVA15%,,,, $-   ," $11,698.69 ",,,,,,,,,,,,,,,,,,,,,,,,
GASTO EVENTUAL,GUARDIAN?A,,,, $563.93 ," $11,134.76 ",,,,,,,,,,,,,,,,,,,,,,,,
,Administraci¢n,,,, $60.00 ," $11,074.76 ",,,,,,,,,,,,,,,,,,,,,,,,
,Podadora Mantenimiento,,,, $178.04 ," $10,896.72 ",,,,,,,,,,,,,,,,,,,,,,,,
,Gasolina,,,, $6.67 ," $10,890.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,, $-   ," $10,890.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $10,890.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $10,890.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $10,890.05 ",,,,,,,,,,,,,,,,,,,,,,,,
INGRESOS,C01 Canelos - PÇrez, $279.57 ,16-Nov-2025, $252.01 , $-   ," $11,142.06 ",,,, $(27.56), $(25.94),,,,,,,,,,,,,,,,,,,
,C01 Provisi¢n, $9.45 ,,,,, $9.45 ,,,,,,,,,,,,,,,,,,,,,,,
,C01 DÇcimos Conserje, $12.72 ,,,,,, $12.72 ,,,,,,,,,,,,,,,,,,,,,,
,C01 Sueldo Conserje, $64.73 ,,,,,,, $64.73 ,,,,,,,,,,,,,,,,,,,,,
,C02 Escorza - Parra, $224.65 ,21-Nov-2025, $231.51 , $-   ," $11,373.57 ",,,, $6.86 , $123.48 ,,,,,,,,,,,,,,,,,,,
,C02 Provisi¢n, $7.60 ,,,,, $7.60 ,,,,,,,,,,,,,,,,,,,,,,,
,C02 DÇcimos Conserje, $10.22 ,,,,,, $10.22 ,,,,,,,,,,,,,,,,,,,,,,
,C02 Sueldo Conserje, $52.01 ,,,,,,, $52.01 ,,,,,,,,,,,,,,,,,,,,,
,03 Nieding - Toscano, $208.89 ,, $-   , $-   ," $11,373.57 ",,,, $(208.89)," $(2,719.13)",,,,,,,,,,,,,,,,,,,
