DICIEMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESCRIPCI?N,G_OFICIAL,FECHA,ENTRA,SALE,SALDO GNRL,PROVISION,DECIMOS,SUELDO_FDO,FALTANTE,,,,,,,,,,,,,,,,,,,,
SALDOS,Saldo Provisi¢n Conserje mes anterior,,,,,," $9,615.17 ",,,,,,,,,,,,,,,,,,,,,,,
,Saldo Decimos Conserje mes anterior,,,,,,, $556.40 ,,,,,,,,,,,,,,,,,,,,,,
,Saldo Diferido,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Condominio mes anterior,,," $15,834.50 ",," $15,834.50 ",,,,,,,,,,,,,,,,,,,,,,,,
GASTOS FIJOS,SUELDO CONSERJE, $407.48 ,12/16/24,, $425.59 ," $15,408.91 ",,,,,,,,,,,,,,,,,,,,,,,,
,IESS CONSERJE, $97.20 ,,, $-   ," $15,408.91 ",,,,,,,,,,,,,,,,,,,,,,,,
,FONDOS DE RESERVA CONSERJE, $37.49 ,,, $-   ," $15,408.91 ",,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO CUARTO 15 AGOSTO, $450.00 ,,, $-   ," $15,408.91 ",,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO TERCERO 15 DICIEMBRE, $447.92 ,,, $470.00 ," $14,938.91 ",,,,,,,,,,,,,,,,,,,,,,,,
,GUARDIAN?A," $1,098.44 ",12/16/24,," $1,127.86 "," $13,811.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,LUZ - EEQ, $22.47 ,,, $-   ," $13,811.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,ADMINISTRADOR , $60.00 ,,, $60.00 ," $13,751.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,Impuestos por chequera, $0.90 ,,, $-   ," $13,751.05 ",,,,,,,,,,,,,,,,,,,,,,,,
,Comision Bancaria,,,, $2.76 ," $13,748.29 ",,,,,,,,,,,,,,,,,,,,,,,,
,IVA15%,,,, $-   ," $13,748.29 ",,,,,,,,,,,,,,,,,,,,,,,,
GASTO EVENTUAL,Luminarias,,,, $55.06 ," $13,693.23 ",,,,,,,,,,,,,,,,,,,,,,,,
